CodigoEstacion,CodigoSensor,FechaObservacion,ValorObservado,NombreEstacion,Departamento,Municipio,ZonaHidrografica,Latitud,Longitud,DescripcionSensor,UnidadMedida
0021205512,0068,01/01/2022 09:00:00 AM,10.818,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021206960,0068,01/01/2022 05:00:00 AM,13.6,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.6,-74.06666667,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 11:40:00 PM,8.683,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021206600,0068,01/01/2022 10:00:00 AM,16.9,NUEVA GENERACION  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.782222222,-74.09433333,Temp Aire 2 m,°C
0021205710,0068,01/01/2022 02:00:00 PM,20.8,JARDIN BOTANICO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.669333333,-74.10266667,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 05:10:00 PM,11.083,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 10:20:00 AM,12.414,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 12:00:00 PM,14.653,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 08:10:00 PM,8.99,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 03:40:00 AM,8.189,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 03:20:00 PM,13.414,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 11:40:00 AM,14.961,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 11:30:00 PM,9.33,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021206960,0068,01/01/2022 02:00:00 PM,19.8,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.6,-74.06666667,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 05:10:00 PM,12.933,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 07:20:00 PM,8.039,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 02:50:00 PM,13.883,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021206920,0068,01/01/2022 07:00:00 PM,9.9,VILLA TERESA - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.35,-74.15,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 07:30:00 PM,9.188,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 07:20:00 AM,9.272,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 10:30:00 PM,8.907,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 05:00:00 PM,11.454,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 08:00:00 PM,7.534,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205710,0068,01/01/2022 04:00:00 AM,12.9,JARDIN BOTANICO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.669333333,-74.10266667,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 05:00:00 PM,12.982,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205012,0068,01/01/2022 10:00:00 PM,14.1,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 07:40:00 PM,7.941,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 01:00:00 AM,9.74,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 09:00:00 PM,7.619,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 11:40:00 AM,14.564,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 04:50:00 PM,13.142,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 07:20:00 AM,10.528,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 04:50:00 PM,12.148,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 12:50:00 AM,8.848,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 05:10:00 AM,8.279,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 12:00:00 PM,14.387,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 05:10:00 AM,6.83,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 11:10:00 AM,14.197,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 08:50:00 AM,10.574,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021206960,0068,01/01/2022 04:00:00 PM,21.1,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.6,-74.06666667,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 07:50:00 AM,9.048,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 05:10:00 AM,8.182,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 11:20:00 AM,13.774,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021206920,0068,01/01/2022 03:00:00 PM,14.7,VILLA TERESA - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.35,-74.15,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 12:30:00 PM,14.835,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 10:40:00 PM,8.856,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 10:10:00 PM,8.869,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 07:30:00 AM,9.21,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 05:10:00 PM,10.652,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 06:40:00 AM,7.622,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 07:00:00 AM,10.09,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 11:00:00 PM,8.836,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021206600,0068,01/01/2022 12:00:00 PM,21,NUEVA GENERACION  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.782222222,-74.09433333,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 03:30:00 AM,7.562,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 04:10:00 PM,13.173,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 04:20:00 PM,13.376,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205012,0068,01/01/2022 03:00:00 PM,20.4,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 06:00:00 PM,9.936,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 03:40:00 PM,12.338,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 09:00:00 PM,9.049,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 06:40:00 AM,8.741,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 06:10:00 PM,9.669,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 08:50:00 PM,6.534,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021206960,0068,01/01/2022 10:00:00 AM,18.4,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.6,-74.06666667,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 05:40:00 PM,10.705,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 06:30:00 PM,9.502,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021205012,0068,01/01/2022 11:00:00 AM,20.9,UNIVERSIDAD NACIONAL  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.638083333,-74.08908333,Temp Aire 2 m,°C
0021205710,0068,01/01/2022 06:00:00 AM,11.4,JARDIN BOTANICO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.669333333,-74.10266667,Temp Aire 2 m,°C
0021206960,0068,01/01/2022 03:00:00 PM,19.7,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.6,-74.06666667,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 09:40:00 AM,11.937,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205509,0068,01/01/2022 02:30:00 AM,8.532,EL DESTINO  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.397,-74.628,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 04:20:00 PM,12.404,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0035025502,0068,01/01/2022 02:30:00 PM,15.16,LA ESMERALDA-  - AUT,BOGOTA,"BOGOTA, D.C",META,4.56,-74,Temp Aire 2 m,°C
0021205512,0068,01/01/2022 04:10:00 AM,8.474,EL SOCHE  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.469,-74.079,Temp Aire 2 m,°C
0021206960,0068,01/01/2022 07:00:00 AM,12.9,IDEAM BOGOTA  - AUT,BOGOTA,"BOGOTA, D.C",ALTO MAGDALENA,4.6,-74.06666667,Temp Aire 2 m,°C
